year,issue,company,ticker,sponsorType,meanActivist,modeDistinct,resolution,desc,uID
2013,soc,SOUTHERN COMPANY GAS,GAS,fund,0.095,0,Adopt Sexual Orientation Anti-bias Policy,Amend EEO Policy to Prohibit Discrimination based on Gender Identity,0D5npEOy
2014,gg,SOUTHERN COMPANY GAS,GAS,union,0.043,-1,Require a Majority Vote for the Election of Directors,Require a Majority Vote for the Election of Directors,mNQGkw53
2014,soc,SOUTHERN COMPANY GAS,GAS,fund,0.043,0,Adopt Sexual Orientation Anti-bias Policy,Amend EEO Policy to Prohibit Discrimination based on Gender Identity,lEJygLj6
2015,gg,SOUTHERN COMPANY GAS,GAS,,0.0,0,Require Independent Board Chairman,Require Independent Board Chairman,32wOgq1Qp
2015,env,SOUTHERN COMPANY GAS,GAS,SRI fund,0.0,0,GHG Emissions,Adopt Quantitative GHG Goals for Products and Operations,4Rv84kQ7g
2015,no-esg,THE AES CORPORATION,AES,Individual,0.0,0,Amend Articles/Bylaws/Charter -- Call Special Meetings,Provide Right to Call Special Meeting,2vgRGmlDW
2016,env,THE AES CORPORATION,AES,religious,0.031,0,Report on Climate Change,Assess Impact of a 2 Degree Scenario,RoK6GG5vY
2017,no-esg,THE AES CORPORATION,AES,Individual,0.062,0,Amend Proxy Access Right,Amend Proxy Access Right,l5pzGqWZ1
2017,env,THE AES CORPORATION,AES,religious,0.062,0,Report on Climate Change,Assess Impact of a 2 Degree Scenario,JqK6wvN2y
2011,gg,AMERICAN AIRLINES GROUP INC.,AAL,Individual,0.062,0,Restore or Provide for Cumulative Voting,Provide for Cumulative Voting,oXYN5m3X
2016,gg,AMERICAN AIRLINES GROUP INC.,AAL,Individual,0.0,0,Require Independent Board Chairman,Require Independent Board Chairman,KZQmN4vnr
2016,soc,AMERICAN AIRLINES GROUP INC.,AAL,public pension,0.0,0,Political Contributions Disclosure,Report on Political Contributions,PZKRZRZV1
2017,gg,AMERICAN AIRLINES GROUP INC.,AAL,Individual,0.0,0,Require Independent Board Chairman,Require Independent Board Chairman,Yv50w4Agn
2018,no-esg,"AMERICAN AIRLINES GROUP, INC.",AAL,Individual,0.0,0,Amend Articles/Bylaws/Charter -- Call Special Meetings,Amend Articles/Bylaws/Charter -- Call Special Meetings,6Rm6zmKWR
2017,no-esg,"ARI NETWORK SERVICES, INC.",ARIS,,0.0,-1,Elect Directors (Opposition Slate),Elect Directors John M. Mueller,voYOgzjj5
2017,no-esg,"ARI NETWORK SERVICES, INC.",ARIS,,0.0,-1,Elect Directors (Opposition Slate),Elect Directors Michael J. Fox,wmEPjAkk8
2009,no-esg,"CA, INC.",CA,,0.929,1,Compensation- Miscellaneous Company Specific,Amend Executive Bonus Program,Vn9WMPYv
2010,no-esg,"CA, INC.",CA,,0.023,0,Adopt Policy on Bonus Banking.,Adopt Policy on Bonus Banking,j6NVZVLB
2010,no-esg,ABBOTT LABORATORIES,ABT,Individual,0.032,0,Amend Articles/Bylaws/Charter -- Call Special Meetings,Amend Articles/Bylaws/Charter -- Call Special Meetings,8K1LKB7W
2010,gg,ABBOTT LABORATORIES,ABT,religious,0.032,0,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,7Vk5RL8y
2011,soc,ABBOTT LABORATORIES,ABT,religious,0.047,0,Review Drug Pricing or Distribution,Adopt Policy on Pharmaceutical Price Restraint,5KYkxwvK
2012,gg,ABBOTT LABORATORIES,ABT,religious,0.035,0,Require Independent Board Chairman,Require Independent Board Chairman,AWwwqMQ7
2012,no-esg,ABBOTT LABORATORIES,ABT,,0.053,0,Adopt Anti Gross-up Policy,Adopt Anti Gross-up Policy,B9jnYlkW
2012,no-esg,ABBOTT LABORATORIES,ABT,,0.035,0,Double Trigger on Equity Plans,Pro-rata Vesting of Equity Plans,GWoXN8my
2012,no-esg,ABBOTT LABORATORIES,ABT,union,0.035,0,Stock Retention/Holding Period,Stock Retention/Holding Period,DW2goVG6
2012,no-esg,ABBOTT LABORATORIES,ABT,,0.035,0,Compensation- Miscellaneous Company Specific,Cease Compliance Adjustments to Performance Criteria,EWByYJ9W
2012,soc,ABBOTT LABORATORIES,ABT,public pension,0.035,0,Political Contributions Disclosure,Report on Lobbying Payments and Policy,zY1lDnOy
2012,env,ABBOTT LABORATORIES,ABT,Special Interest,0.0,0,Animal Testing,Report on Research Animal Care and Promotion of Testing Alternatives,yklO3mQW
2013,gg,ABBOTT LABORATORIES,ABT,,0.0,0,Require Independent Board Chairman,Require Independent Board Chairman,x8PP60X3
2013,no-esg,ABBOTT LABORATORIES,ABT,Special Interest,0.019,0,Double Trigger on Equity Plans,Pro-rata Vesting of Equity Awards,AKgXZGA9
2013,no-esg,ABBOTT LABORATORIES,ABT,union,0.0,0,Stock Retention/Holding Period,Stock Retention/Holding Period,y2D3gPDW
2013,no-esg,ABBOTT LABORATORIES,ABT,other,0.0,0,Compensation- Miscellaneous Company Specific,Cease Compliance Adjustments to Performance Criteria,zYo5PlJ8
2013,env,ABBOTT LABORATORIES,ABT,Special Interest,0.0,0,Genetically Modified Organisms (GMO),Label and Eliminate GMO Ingredients in Products,vLGgRA38
2013,no-esg,ABBOTT LABORATORIES,ABT,public pension,0.019,0,Political Lobbying Disclosure,Report on Lobbying Payments and Policy,w7X55jqw
2014,env,ABBOTT LABORATORIES,ABT,Special Interest,0.0,0,Genetically Modified Organisms (GMO),Label Products with GMO Ingredients,vLGg5W3L
2014,no-esg,ABBOTT LABORATORIES,ABT,public pension,0.0,0,Political Lobbying Disclosure,Report on Lobbying Payments and Policy,w7X5wkq1
2015,gg,ABBOTT LABORATORIES,ABT,Individual,0.0,0,Require Independent Board Chairman,Require Independent Board Chairman,9QgOovxg8
2015,env,ABBOTT LABORATORIES,ABT,Special Interest,0.0,0,Genetically Modified Organisms (GMO),Report on Products Containing GE Ingredients,MQBY8mAn1
2017,gg,ABBOTT LABORATORIES,ABT,Individual,0.048,0,Require Independent Board Chairman,Require Independent Board Chairman,VPQlq4n5B
2018,gg,ABBOTT LABORATORIES,ABT,Individual,0.0,0,Require Independent Board Chairman,Require Independent Board Chairman,l57Do5lW7
2010,gg,ABERCROMBIE & FITCH CO.,ANF,other,0.0,0,Require Independent Board Chairman,Require Independent Board Chairman,JzJO0XRK
2010,gg,ABERCROMBIE & FITCH CO.,ANF,public pension,1.0,0,Declassify the Board of Directors,Declassify the Board of Directors,K9Oojmxn
2010,soc,ABERCROMBIE & FITCH CO.,ANF,fund,0.0,0,Improve Human Rights Standards or Policies,Adopt ILO Based Code of Conduct,LWBwLMnr
2011,gg,ABERCROMBIE & FITCH CO.,ANF,,0.0,0,Require Independent Board Chairman,Require Independent Board Chairman,L0LQNRGX
2013,no-esg,ABERCROMBIE & FITCH CO.,ANF,,0.0,0,Double Trigger on Equity Plans,Pro-rata Vesting of Equity Plans,y2xA3vVg
2014,no-esg,ABERCROMBIE & FITCH CO.,ANF,other,0.0,0,Double Trigger on Equity Plans,Pro-rata Vesting of Equity Awards,O6zXNBvp
2014,gg,ABERCROMBIE & FITCH CO.,ANF,public pension,0.0,0,Performance-Based and/or Time-Based Equity Awards,Performance-Based Equity Awards,PW89B45y
2015,no-esg,ABERCROMBIE & FITCH CO.,ANF,other,0.0,0,Double Trigger on Equity Plans,Pro-rata Vesting of Equity Awards,yr7r72yDE
2016,no-esg,ABERCROMBIE & FITCH CO.,ANF,other,0.0,0,Double Trigger on Equity Plans,Pro-rata Vesting of Equity Awards,ZVvVvo5zg
2017,gg,ABERCROMBIE & FITCH CO.,ANF,fund,0.0,0,Adopt Proxy Access Right,Adopt Proxy Access Right,7LAg5kVwj
2018,no-esg,ABERCROMBIE & FITCH CO.,ANF,fund,0.0,0,Double Trigger on Equity Plans,Pro-rata Vesting of Equity Awards,Q0j0jDM7Y
2018,no-esg,ACACIA RESEARCH CORP.,ACTG,,0.0,-1,Elect Directors (Opposition Slate),"Elect Director Alfred V. Tobia, Jr.",0V24gxlz5
2018,no-esg,ACACIA RESEARCH CORP.,ACTG,,0.0,-1,Elect Directors (Opposition Slate),Elect Director Clifford Press,9Qpn8KxMJ
2014,no-esg,ACCTON TECHNOLOGY CORP.,,,0.0,-1,Elect Director (Cumulative Voting or More Nominees Than Board Seats).,"Elect Huang kuo-Hsiu, with Shareholder No. 712, as Non-Independent Director",rV99Y9R4
2014,no-esg,ACCTON TECHNOLOGY CORP.,,,0.0,-1,Elect Director (Cumulative Voting or More Nominees Than Board Seats).,"Elect Lee,Yen-Sung, a Representative of Kuan Xin Investment Corp. with Shareholder No. 248318, as Non-Independent Director",qLZZ2ZY0
2013,gg,"INSPERITY, INC.",NSP,fund,1.0,0,Require a Majority Vote for the Election of Directors,Require a Majority Vote for the Election of Directors,kXZDD1pv
2015,no-esg,ADVANCED SEMICONDUCTOR ENGINEERING INC.,ASX,,1.0,0,Elect Director (Cumulative Voting or More Nominees Than Board Seats).,"Elect Jason C. S. Chang, a Representative of ASE Enterprises Ltd. with Shareholder No. 1, as Non-independent Director",wmEzVNN1M
2015,no-esg,ADVANCED SEMICONDUCTOR ENGINEERING INC.,ASX,,1.0,0,Elect Director (Cumulative Voting or More Nominees Than Board Seats).,"Elect Richard H. P. Chang, with Shareholder No. 3, as Non-independent Director",xvVAn003q
2015,no-esg,ADVANCED SEMICONDUCTOR ENGINEERING INC.,ASX,,1.0,0,Elect Director (Cumulative Voting or More Nominees Than Board Seats).,"Elect Tien Wu, a Representative of ASE Enterprises Ltd. with Shareholder No. 1, as Non-independent Director",yr6Bo443P
2015,no-esg,ADVANCED SEMICONDUCTOR ENGINEERING INC.,ASX,,1.0,0,Elect Director (Cumulative Voting or More Nominees Than Board Seats).,"Elect Joseph Tung, a Representative of ASE Enterprises Ltd. with Shareholder No. 1, as Non-independent Director",zKBDv883m
2015,no-esg,ADVANCED SEMICONDUCTOR ENGINEERING INC.,ASX,,1.0,0,Elect Director (Cumulative Voting or More Nominees Than Board Seats).,"Elect Raymond Lo, a Representative of ASE Enterprises Ltd. with Shareholder No. 1, as Non-independent Director",APQzNLLVP
2015,no-esg,ADVANCED SEMICONDUCTOR ENGINEERING INC.,ASX,,1.0,0,Elect Director (Cumulative Voting or More Nominees Than Board Seats).,"Elect Jeffery Chen, a Representative of ASE Enterprises Ltd. with Shareholder No. 1, as Non-independent Director",BL8ANMMWN
2015,no-esg,ADVANCED SEMICONDUCTOR ENGINEERING INC.,ASX,,1.0,0,Elect Director (Cumulative Voting or More Nominees Than Board Seats).,"Elect T.S. Chen, a Representative of ASE Enterprises Ltd. with Shareholder No. 1, as Non-independent Director",D9YD1OOgq
2015,no-esg,ADVANCED SEMICONDUCTOR ENGINEERING INC.,ASX,,1.0,0,Elect Director (Cumulative Voting or More Nominees Than Board Seats).,"Elect Rutherford Chang, with Shareholder No. 372564, as Non-independent Director",E9ZE8ggj0
2018,no-esg,"ASE TECHNOLOGY HOLDING CO., LTD.",3711,,1.0,0,Appoint Alternate Internal Statutory Auditor(s) [and Approve Auditor's/Auditors' Remuneration].,Elect Alan Cheng with Shareholder No. 6403 as Supervisor,voY085lDr
2018,no-esg,"ASE TECHNOLOGY HOLDING CO., LTD.",3711,,1.0,0,Appoint Alternate Internal Statutory Auditor(s) [and Approve Auditor's/Auditors' Remuneration].,Elect Yuan-Chuang Fung with Shareholder No. 75594 as Supervisor,wmELK5VZw
2018,no-esg,"ASE TECHNOLOGY HOLDING CO., LTD.",3711,,1.0,0,Appoint Alternate Internal Statutory Auditor(s) [and Approve Auditor's/Auditors' Remuneration].,Elect Fang-Yin Chen with ID No. P220793529 as Supervisor,gLxonKZ69
2018,no-esg,"ASE TECHNOLOGY HOLDING CO., LTD.",3711,,1.0,0,Elect Director (Cumulative Voting or More Nominees Than Board Seats).,"Elect Jason C.S. Chang, a Representative of ASE Enterprises Ltd., with Shareholder No. 1 as Director",0V2N8qyG5
2018,no-esg,"ASE TECHNOLOGY HOLDING CO., LTD.",3711,,1.0,0,Elect Director (Cumulative Voting or More Nominees Than Board Seats).,Elect Richard H.P. Chang with Shareholder No. 3 as Director,gLxOpYVmr
