year,issue,company,ticker,sponsorType,meanActivist,modeDistinct,resolution,desc,uID,sponsor
2009,env,BED BATH & BEYOND INC.,BBBY,SRI fund,0.0,0,Report on Sustainability,Prepare Sustainability Report,JW0xWv4J,Green Century Capital Management
2009,gg,DELL TECHNOLOGIES INC.,DVMT,Individual,1.0,0,Reduce Supermajority Vote Requirement,Reduce Supermajority Vote Requirement,mN2GZ3Qp,"McRitchie, Jim"
2009,soc,WYETH,WYE,union,0.0,0,Political Contributions Disclosure,Report on Political Contributions,XpgVPrnm,AFL-CIO
2009,gg,"LEGG MASON, INC.",LM,union,0.0,0,Compensation- Miscellaneous Company Specific,Compensation- Make Changes to the Executive Incentive Compensation Plan (EICP) as Applied to Senior Executives,gMPyjRpr,AFL-CIO
2009,gg,"LEGG MASON, INC.",LM,union,0.0,-1,Require a Majority Vote for the Election of Directors,Require a Majority Vote for the Election of Directors,j6qOxgmP,United Brotherhood of Carpenters Pension Fund
2009,gg,CHRISTOPHER & BANKS CORPORATION,CBK,Individual,0.0,-1,Declassify the Board of Directors,Declassify the Board of Directors,lEOy9KE1,"Thompson, Jr., William C."
2009,soc,"B/E AEROSPACE, INC.",BEAV,public pension,0.0,0,MacBride Principles,Implement MacBride Principles,zYlYWnpO,New York City Pension Funds
2009,env,MGM RESORTS INTERNATIONAL,MGM,public pension,0.0,0,Report on Sustainability,Prepare Sustainability Report,kXALMgp6,New York City Pension Funds
2009,gg,APPLIED MICRO CIRCUITS CORPORATION,APDA,public pension,0.0,-1,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,lEPn4X85,New York City Pension Funds
2009,gg,AMERCO,UHAL,,1.0,-1,Company Specific-Governance Related,Allow Shareholder Proposals Requesting Ratification of Decisions and Actions Taken by the Board,K95nkvPr,unknown
2009,gg,AMERCO,UHAL,,1.0,-1,Company Specific-Governance Related,Approve Decision and Actions Taken by the Board,JW7mjrOD,unknown
2009,gg,"GENERAL MILLS, INC.",GIS,SRI fund,0.0,-1,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,Rj7xGDWR,Walden Asset Management
2009,gg,FEDEX CORPORATION,FDX,fund,0.0,0,Require Independent Board Chairman,Require Independent Board Chairman,x8PYXmq9,The International Brotherhood of Teamsters General Fund
2009,gg,FEDEX CORPORATION,FDX,Individual,0.0,0,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,zYoGjg8y,"Thompson, Martha R."
2009,soc,FEDEX CORPORATION,FDX,union,0.0,0,Health Care - Related,Adopt Principles for Health Care Reform,AK4jW8kP,AFL-CIO
2009,soc,"CAL-MAINE FOODS, INC.",CALM,,0.0,0,Political Contributions Disclosure,Report on Political Contributions,3VkJ3mA4,
2009,gg,ORACLE CORPORATION,ORCL,religious,0.0,0,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,n6Pp4Ap7,Marianist Society
2009,gg,RPM INTERNATIONAL INC.,RPM,,1.0,0,Declassify the Board of Directors,Declassify the Board of Directors,Yq6JDnOp,Gerald Armstrong
2009,gg,NEOGEN CORPORATION,NEOG,,1.0,1,Company Specific-Governance Related,Implement Insider Trading Policy,gMQgVl4D,Michael P. Entis
2009,gg,THE PROCTER & GAMBLE COMPANY,PG,Individual,0.0,0,Restore or Provide for Cumulative Voting,Provide for Cumulative Voting,mNwLWvW9,"Davis, Evelyn Y."
2009,gg,THE PROCTER & GAMBLE COMPANY,PG,union,0.0,0,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,n6Pp40N5,United Brotherhood of Carpenters Pension Fund
2009,soc,CINTAS CORPORATION,CTAS,union,0.0,0,Health Care - Related,Adopt Principles for Health Care Reform,MW4ONB45,AFL-CIO
2009,gg,HARRIS CORPORATION,HRS,public pension,0.0,0,Require Independent Board Chairman,Require Independent Board Chairman,1E2gRZE0,Norges Bank Investment Management
2009,gg,PARKER-HANNIFIN CORPORATION,PH,public pension,0.0,0,Require Independent Board Chairman,Require Independent Board Chairman,PgP04xgW,Norges Bank Investment Management
2009,gg,"CARDINAL HEALTH, INC.",CAH,,0.0,0,Performance-Based and/or Time-Based Equity Awards,Performance-Based Equity Awards,5KgrK2DK,"William C. Thompson, Jr. Comptroller of the City of New York"
2009,gg,"CARDINAL HEALTH, INC.",CAH,public pension,0.0,0,Require Independent Board Chairman,Require Independent Board Chairman,6GgnZQpO,Norges Bank Investment Management
2009,soc,ARCHER-DANIELS-MIDLAND COMPANY,ADM,public pension,0.0,0,Improve Human Rights Standards or Policies,Adopt ILO Based Code of Conduct,y2kxqkEz,New York City Pension Funds
2009,env,"COACH, INC.",COH,Special Interest,0.0,0,Animal Welfare,Report on Ending Use of Animal Fur in Products,2J4qYJWv,People for the Ethical Treatment of Animals
2009,env,ADTALEM GLOBAL EDUCATION INC,ATGE,Special Interest,0.0,0,Animal Welfare,Adopt Policy Prohibiting Medically Unnecessary Veterinary Training Surgeries,EQOXzmzW,People for the Ethical Treatment of Animals
2009,soc,"CISCO SYSTEMS, INC.",CSCO,SRI fund,0.0,0,"Data Security, Privacy, and Internet Issues",Report on Internet Fragmentation,lEkX9VgV,Boston Common Asset Management
2009,gg,"CISCO SYSTEMS, INC.",CSCO,religious,0.0,-1,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,kXPm4q0Y,Christian Brothers Investment Services
2009,soc,"CISCO SYSTEMS, INC.",CSCO,,0.0,0,Improve Human Rights Standards or Policies,Amend Bylaws to Establish a Board Committee on Human Rights,j6JNX6ly,John C. Harrington
2009,gg,THE CLOROX COMPANY,CLX,public pension,0.0,0,Require Independent Board Chairman,Require Independent Board Chairman,1E2gRRMq,Norges Bank Investment Management
2009,env,MICROSOFT CORPORATION,MSFT,,0.0,0,Anti-Social Proposal,Report on Charitable Contributions,03Rkwz6V,Thomas Strobhar
2009,soc,MICROSOFT CORPORATION,MSFT,union,0.0,0,Health Care - Related,Adopt Principles for Health Care Reform,9Y4RGPk8,AFL-CIO
2010,gg,"WOODWARD, INC.",WWD,Individual,0.0,-1,Declassify the Board of Directors,Declassify the Board of Directors,13joo9oR,"Cohen, Jack"
2010,env,HORMEL FOODS CORPORATION,HRL,Special Interest,0.0,0,Animal Welfare,Implement Specific Animal Welfare Policies and Practices for Suppliers,03qoW1M3,People for the Ethical Treatment of Animals
2010,gg,JOHNSON CONTROLS INTERNATIONAL PLC,JCI,public pension,0.0,-1,Require a Majority Vote for the Election of Directors,Require a Majority Vote for the Election of Directors,xLv7QmzP,Laborers National Pension Fund
2010,gg,"BECTON, DICKINSON AND COMPANY",BDX,Individual,0.0,0,Restore or Provide for Cumulative Voting,Provide for Cumulative Voting,O671vpOG,"Davis, Evelyn Y."
2010,gg,"BECTON, DICKINSON AND COMPANY",BDX,Individual,0.0,0,Require a Majority Vote for the Election of Directors,Require a Majority Vote for the Election of Directors,NW95P6KD,"Cohen, Jack"
2010,gg,OSHKOSH CORPORATION,OSK,Individual,0.0,-1,Require a Majority Vote for the Election of Directors,Require a Majority Vote for the Election of Directors,GW5QGryy,"Chevedden, John"
2010,env,"TYSON FOODS, INC.",TSN,religious,0.0,0,Community- Environmental Impact,Report on Reducing Environmental Impacts,n6K3qPj5,American Baptist Home Mission Society
2010,env,"TYSON FOODS, INC.",TSN,religious,0.0,0,Community- Environmental Impact,Report on Water Pollution Prevention Measures,mNJ3pPgR,American Baptist Home Mission Society
2010,soc,"TYSON FOODS, INC.",TSN,religious,0.0,0,Product Safety,Phase Out Antibiotics in Animal Feed,oXxyXAlj,Trinity Health
2010,gg,"ROCKWELL COLLINS, INC.",COL,fund,0.0,0,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,YqRGLZwp,Clean Yield Asset Management
2010,env,JACK IN THE BOX INC.,JACK,Special Interest,0.0,0,Animal Slaughter Methods,Require Suppliers to Adopt CAK,4KmP9M67,People for the Ethical Treatment of Animals
2010,env,APPLE INC.,AAPL,Special Interest,0.0,0,Report on Sustainability,Prepare Sustainability Report,JW0xKnGl,As You Sow Foundation
2010,soc,APPLE INC.,AAPL,,0.0,0,Establish Other Governance Board Committee,Establish Other Board Committee,K9OJ5Jyz,John C. Harrington
2010,gg,"WHOLE FOODS MARKET, INC.",WFM,Individual,0.0,-1,Reduce Supermajority Vote Requirement,Reduce Supermajority Vote Requirement,JWYlqkgg,"Chevedden, John"
