year,issue,company,ticker,sponsorType,meanActivist,modeDistinct
2009,no-esg,"AMERICAN INTERNATIONAL GROUP, INC.",AIG,other,0.0,0
2009,no-esg,"AMERICAN INTERNATIONAL GROUP, INC.",AIG,Individual,0.0,0
2009,no-esg,"AMERICAN INTERNATIONAL GROUP, INC.",AIG,Individual,0.0,0
2009,env,BED BATH & BEYOND INC.,BBBY,SRI fund,0.0,0
2009,no-esg,"PIER 1 IMPORTS, INC.",PIR,public pension,0.0,0
2009,no-esg,DELL TECHNOLOGIES INC.,DVMT,other,0.0,0
2009,gg,DELL TECHNOLOGIES INC.,DVMT,Individual,1.0,0
2009,soc,WYETH,WYE,union,0.0,0
2009,no-esg,WYETH,WYE,Individual,0.0,-1
2009,no-esg,MCKESSON CORPORATION,MCK,fund,0.0,-1
2009,no-esg,MCKESSON CORPORATION,MCK,other,0.0,0
2009,gg,ANCHOR BANCORP WISCONSIN INC.,ABCW,,0.0,0
2009,gg,"LEGG MASON, INC.",LM,union,0.0,0
2009,gg,"LEGG MASON, INC.",LM,union,0.0,-1
2009,gg,CHRISTOPHER & BANKS CORPORATION,CBK,Individual,1.0,0
2009,soc,"B/E AEROSPACE, INC.",BEAV,public pension,0.0,0
2009,env,MGM RESORTS INTERNATIONAL,MGM,public pension,0.0,0
2009,gg,APPLIED MICRO CIRCUITS CORPORATION,APDA,public pension,0.0,-1
2009,gg,AMERCO,UHAL,,1.0,-1
2009,gg,AMERCO,UHAL,,1.0,-1
2009,no-esg,TATA GLOBAL BEVERAGES LTD.,,,0.0,-1
2009,no-esg,"CA, INC.",CA,,0.0,0
2009,no-esg,99 (CENTS) ONLY STORES,NDN,,0.0,0
2009,gg,"GENERAL MILLS, INC.",GIS,SRI fund,0.0,-1
2009,no-esg,SYMANTEC CORPORATION,SYMC,,0.0,-1
2009,gg,FEDEX CORPORATION,FDX,fund,0.0,0
2009,no-esg,FEDEX CORPORATION,FDX,Individual,0.0,0
2009,gg,FEDEX CORPORATION,FDX,Individual,0.0,0
2009,soc,FEDEX CORPORATION,FDX,union,0.0,0
2009,soc,"CAL-MAINE FOODS, INC.",CALM,,0.0,0
2009,gg,ORACLE CORPORATION,ORCL,religious,0.0,0
2009,no-esg,ORACLE CORPORATION,ORCL,,0.0,0
2009,no-esg,ORACLE CORPORATION,ORCL,other,0.0,0
2009,gg,RPM INTERNATIONAL INC.,RPM,,1.0,0
2009,gg,NEOGEN CORPORATION,NEOG,,0.0,0
2009,gg,THE PROCTER & GAMBLE COMPANY,PG,Individual,0.0,0
2009,gg,THE PROCTER & GAMBLE COMPANY,PG,union,0.0,0
2009,soc,CINTAS CORPORATION,CTAS,union,0.0,0
2009,gg,"PEREGRINE PHARMACEUTICALS, INC.",PPHM,,0.0,0
2009,gg,HARRIS CORPORATION,HRS,public pension,0.0,0
2009,gg,PARKER-HANNIFIN CORPORATION,PH,public pension,0.0,0
2009,gg,"CARDINAL HEALTH, INC.",CAH,,0.0,0
2009,gg,"CARDINAL HEALTH, INC.",CAH,public pension,0.0,0
2009,soc,ARCHER-DANIELS-MIDLAND COMPANY,ADM,public pension,0.0,0
2009,env,"COACH, INC.",COH,Special Interest,0.0,0
2009,no-esg,INTERNATIONAL RECTIFIER CORPORATION,IRF,,0.0,0
2009,env,ADTALEM GLOBAL EDUCATION INC,ATGE,Special Interest,0.0,0
2009,soc,"CISCO SYSTEMS, INC.",CSCO,SRI fund,0.0,0
2009,gg,"CISCO SYSTEMS, INC.",CSCO,religious,0.0,-1
2009,soc,"CISCO SYSTEMS, INC.",CSCO,,0.0,0
2009,gg,THE CLOROX COMPANY,CLX,public pension,0.0,0
2009,env,MICROSOFT CORPORATION,MSFT,,0.0,0
2009,soc,MICROSOFT CORPORATION,MSFT,union,0.0,0
2010,gg,"WOODWARD, INC.",WWD,Individual,1.0,0
2010,env,HORMEL FOODS CORPORATION,HRL,Special Interest,0.0,0
2010,gg,JOHNSON CONTROLS INTERNATIONAL PLC,JCI,public pension,0.0,-1
2010,gg,"BECTON, DICKINSON AND COMPANY",BDX,Individual,0.0,0
2010,gg,"BECTON, DICKINSON AND COMPANY",BDX,Individual,0.0,0
2010,gg,OSHKOSH CORPORATION,OSK,Individual,0.0,-1
2010,env,"TYSON FOODS, INC.",TSN,religious,0.0,0
2010,env,"TYSON FOODS, INC.",TSN,religious,0.0,0
2010,soc,"TYSON FOODS, INC.",TSN,religious,0.0,0
2010,gg,"ROCKWELL COLLINS, INC.",COL,fund,0.0,0
2010,env,JACK IN THE BOX INC.,JACK,Special Interest,0.0,0
2010,env,APPLE INC.,AAPL,Special Interest,0.0,0
2010,soc,APPLE INC.,AAPL,,0.0,0
2010,no-esg,"WGL HOLDINGS, INC.",WGL,Individual,0.0,0
2010,no-esg,"WHOLE FOODS MARKET, INC.",WFM,union,0.0,-1
2010,no-esg,"WHOLE FOODS MARKET, INC.",WFM,Individual,0.0,0
2010,gg,"WHOLE FOODS MARKET, INC.",WFM,Individual,0.0,-1
2010,no-esg,"WHOLE FOODS MARKET, INC.",WFM,union,0.0,0
2010,no-esg,THE WALT DISNEY COMPANY,DIS,Individual,0.0,0
2010,gg,THE WALT DISNEY COMPANY,DIS,SRI fund,0.0,-1
2010,env,"TOLL BROTHERS, INC.",TOL,public pension,0.0,0
2010,gg,"THE COOPER COMPANIES, INC.",COO,,0.0,-1
2010,gg,"TOLL BROTHERS, INC.",TOL,fund,0.0,0
2010,env,STARBUCKS CORPORATION,SBUX,Special Interest,0.0,0
2010,gg,"QUIKSILVER, INC.",ZQKSQ,union,0.0,0
2010,gg,"QUIKSILVER, INC.",ZQKSQ,union,0.0,0
2010,gg,"QUIKSILVER, INC.",ZQKSQ,union,0.0,0
2010,gg,"QUIKSILVER, INC.",ZQKSQ,union,0.0,0
2010,gg,"QUIKSILVER, INC.",ZQKSQ,union,0.0,0
2010,gg,"QUIKSILVER, INC.",ZQKSQ,union,0.0,0
2010,gg,"QUIKSILVER, INC.",ZQKSQ,union,0.0,0
2010,gg,"QUIKSILVER, INC.",ZQKSQ,union,0.0,0
2010,gg,"QUIKSILVER, INC.",ZQKSQ,union,0.0,0
2010,gg,"QUIKSILVER, INC.",ZQKSQ,,0.0,-1
2010,gg,AMERON INTERNATIONAL CORPORATION,AMN,Individual,0.0,-1
2010,gg,KB HOME,KBH,fund,0.0,0
2010,no-esg,KB HOME,KBH,public pension,0.0,0
2010,no-esg,KB HOME,KBH,fund,0.0,0
2010,gg,"WADDELL & REED FINANCIAL, INC.",WDR,SRI fund,0.0,0
2010,gg,THE BANK OF NEW YORK MELLON CORPORATION,BK,fund,1.0,0
2010,gg,THE BANK OF NEW YORK MELLON CORPORATION,BK,Individual,0.0,0
2010,no-esg,THE BANK OF NEW YORK MELLON CORPORATION,BK,union,0.0,0
2010,gg,UNITED TECHNOLOGIES CORPORATION,UTX,union,0.0,0
2010,env,LENNAR CORPORATION,LEN,other,0.0,0
2010,env,"PPG INDUSTRIES, INC.",PPG,SRI fund,0.0,0
2010,no-esg,WEYERHAEUSER COMPANY,WY,company,0.0,-1
2010,env,WEYERHAEUSER COMPANY,WY,other,0.0,0
2010,gg,HOSPITALITY PROPERTIES TRUST,HPT,,1.0,0
2010,gg,HOSPITALITY PROPERTIES TRUST,HPT,public pension,1.0,0
2010,gg,ELI LILLY AND COMPANY,LLY,union,0.0,0
2010,no-esg,ELI LILLY AND COMPANY,LLY,company,0.0,0
2010,gg,ELI LILLY AND COMPANY,LLY,Individual,0.0,0
2010,no-esg,ELI LILLY AND COMPANY,LLY,other,0.0,0
2010,gg,PACCAR INC,PCAR,Individual,1.0,1
2010,gg,PACCAR INC,PCAR,union,0.0,0
2010,no-esg,CITIGROUP INC.,C,union,0.0,0
2010,gg,FIFTH THIRD BANCORP,FITB,other,0.0,0
2010,no-esg,CITIGROUP INC.,C,Individual,0.0,0
2010,no-esg,CITIGROUP INC.,C,Individual,0.0,0
2010,gg,PACCAR INC,PCAR,,1.0,1
2010,gg,CITIZENS & NORTHERN CORPORATION,CZNC,Individual,1.0,0
2010,no-esg,CITIGROUP INC.,C,other,0.0,0
2010,soc,CITIGROUP INC.,C,public pension,0.0,0
2010,soc,CITIGROUP INC.,C,public pension,0.0,0
2010,gg,UNION BANKSHARES CORPORATION,UBSH,,1.0,1
2010,gg,MOODY'S CORPORATION,MCO,fund,0.0,0
2010,gg,THE SHERWIN-WILLIAMS COMPANY,SHW,union,0.0,0
2010,gg,"PROSPERITY BANCSHARES, INC.",PB,,1.0,0
2010,gg,"COMMERCE BANCSHARES, INC.",CBSH,Individual,1.0,1
2010,env,EQT CORPORATION,EQT,,0.0,0
2010,gg,"WESBANCO, INC.",WSBC,Individual,1.0,1
2010,gg,EQT CORPORATION,EQT,union,0.0,-1
2010,env,"C. R. BARD, INC.",BCR,SRI fund,0.0,0
2010,gg,THE COCA-COLA COMPANY,KO,fund,0.0,0
2010,gg,CITY NATIONAL CORPORATION,CYN,,1.0,0
2010,gg,THE COCA-COLA COMPANY,KO,Individual,0.0,0
2010,env,THE COCA-COLA COMPANY,KO,SRI fund,0.0,0
2010,gg,THE COCA-COLA COMPANY,KO,religious,0.0,0
2010,gg,"HCP, INC.",HCP,union,0.0,0
2010,no-esg,PFIZER INC.,PFE,Individual,0.0,0
2010,soc,LOCKHEED MARTIN CORPORATION,LMT,religious,0.0,0
2010,no-esg,JOHNSON & JOHNSON,JNJ,Individual,0.0,0
2010,gg,JOHNSON & JOHNSON,JNJ,SRI fund,0.0,0
2010,gg,"BAKER HUGHES, A GE COMPANY, LLC",BHGE,union,0.0,0
2010,gg,EDISON INTERNATIONAL,EIX,Individual,0.0,1
2010,gg,EDISON INTERNATIONAL,EIX,Individual,0.0,0
2010,no-esg,ABBOTT LABORATORIES,ABT,Individual,0.0,0
2010,gg,NEWMONT MINING CORPORATION,NEM,,0.0,-1
2010,gg,ABBOTT LABORATORIES,ABT,religious,0.0,0
2010,gg,COCA-COLA EUROPEAN PARTNERS PLC,CCE,fund,1.0,1
2010,gg,ARCONIC INC.,ARNC,Individual,0.0,-1
2010,gg,KELLOGG COMPANY,K,Individual,1.0,1
2010,no-esg,NEWMONT MINING CORPORATION,NEM,Individual,0.0,0
2010,gg,GRACO INC.,GGG,public pension,0.0,-1
2010,gg,"HARLEY-DAVIDSON, INC.",HOG,Individual,1.0,0
2010,no-esg,AMERICAN EXPRESS COMPANY,AXP,other,0.0,0
2010,gg,AMERICAN EXPRESS COMPANY,AXP,Individual,0.0,0
2010,no-esg,AMERICAN EXPRESS COMPANY,AXP,Individual,0.0,0
2010,soc,HONEYWELL INTERNATIONAL INC.,HON,religious,0.0,0
2010,soc,THE BOEING COMPANY,BA,SRI fund,0.0,0
